"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type"
"R2030743","Residential Detached","S","3483 200 STREET","Brookswood Langley","1988","House/Single Family","28","Langley","Langley","5/15/2016","Jesse","3","$3,630.00","2/1/2016","001-661-761",,,"2/2/2016","$700,000","$357.69","1.04","3","4","R1-E","$675,000","1","1,957","$357.69","1.04","House/Single Family"
"R2003899","Residential Detached","S","6737 128 STREET","West Newton","2001","House/Single Family","15","Surrey","Surrey","4/30/2016","Rekha","4","$3,487.83","9/25/2015","024-356-182",,,"1/29/2016","$700,000","$240.05","1.00","4","6","RES","$699,000","122","2,916","$240.05","1.06","House/Single Family"
"R2028546","Residential Attached","S","309 1295 RICHARDS STREET","Downtown VW","2002","Apartment/Condo","14","Vancouver West","Vancouver","4/26/2016","CALL OR TEXT NICOLA","2","$1,421.20","1/26/2016","025-528-521","24","$293.11","2/2/2016","$701,000","$934.67","1.08","2","2","DD","$649,900","7","750","$934.67","1.08","Apartment/Condo"
"R2026562","Residential Detached","S","10228 158A STREET","Guildford","1981","House/Single Family","35","North Surrey","Surrey","3/20/2016","Rinesh Anand","2","$2,931.45","1/20/2016","001-970-810",,,"1/31/2016","$701,300","$416.20","0.95","2","3","RF","$738,888","11","1,685","$416.20","0.95","House/Single Family"
"R2027742","Residential Detached","S","19550 116B AVENUE","South Meadows","1981","House/Single Family","35","Pitt Meadows","Pitt Meadows","7/23/2016","ROB","3","$3,996.75","1/23/2016","002-959-437",,,"2/2/2016","$701,550","$332.80","1.08","3","4","RES","$649,900","10","2,108","$332.80","1.08","House/Single Family"
"R2030462","Residential Detached","S","7786 119A STREET","Scottsdale","1974","House/Single Family","42","N. Delta","Delta","8/30/2016","Stephanie","4","$2,651.19","2/1/2016","007-308-884",,,"2/1/2016","$703,000","$259.22","1.00","4","6","RM1","$699,800","0","2,712","$259.22","1.00","House/Single Family"
"R2029833","Residential Attached","S","50 15988 32 AVENUE","Grandview Surrey","2016","Townhouse","0","South Surrey White Rock","Surrey","4/30/2017","Cliff","3","$2,708.00","1/30/2016","900-577-812",,"$280.00","1/30/2016","$704,667","$235.05","0.95","4","5","MF","$739,900","0","2,998","$235.05","0.95","Townhouse"
"R2027432","Residential Detached","S","15402 85A AVENUE","Fleetwood Tynehead","1981","House/Single Family","35","Surrey","Surrey","8/31/2016","Beverly","2","$719.91","1/19/2016","002-520-931",,,"1/31/2016","$705,000","$451.92","1.08","2","3","SFR","$649,800","12","1,560","$451.92","1.08","House/Single Family"
"R2028906","Residential Attached","S","2606 1438 RICHARDS STREET","Yaletown","2004","Apartment/Condo","12","Vancouver West","Vancouver","6/30/2016","FARZAD","1","$2,061.11","1/27/2016","025-851-055","33","$353.07","2/2/2016","$705,000","$931.31","1.04","1","1","CD-1","$678,000","6","757","$931.31","1.04","Apartment/Condo"
"R2015337","Residential Attached","S","2802 489 INTERURBAN WAY","Marpole","2015","Apartment/Condo","1","Vancouver West","Vancouver","11/16/2016","Vicky Zou","2","$0.00","11/16/2015","029-651-239",,"$382.76","2/2/2016","$705,000","$883.46","0.96","2","2","CD-1","$738,000","78","798","$883.46","0.96","Apartment/Condo"
"R2028729","Residential Detached","S","16533 59A AVENUE","Cloverdale BC","2005","House/Single Family","11","Cloverdale","Surrey","7/28/2016","WES","3","$3,654.85","1/28/2016","026-039-753",,,"2/1/2016","$705,000","$271.47","1.13","4","5","SF","$624,900","4","2,597","$271.47","1.13","House/Single Family"
"R2029531","Residential Detached","S","191 CLOVERMEADOW CRESCENT","Salmon River","1973","House/Single Family","43","Langley","Langley","7/28/2016","Stephanie Bentley","3","$4,032.90","1/28/2016","000-595-209",,,"1/30/2016","$706,000","$336.19","1.01","4","5","SR1","$700,000","2","2,100","$336.19","1.01","House/Single Family"
"R2028224","Residential Detached","S","12215 CHESTNUT CRESCENT","Mid Meadows","1988","House/Single Family","28","Pitt Meadows","Pitt Meadows","4/26/2016","RUSS","3","$4,258.70","1/26/2016","005-305-713",,,"2/2/2016","$709,150","$338.98","1.11","3","5","R-1","$638,800","7","2,092","$338.98","1.11","House/Single Family"
"R2018622","Residential Attached","S","216 6168 LONDON ROAD","Steveston South","2015","Apartment/Condo","1","Richmond","Richmond","6/30/2016","SEAN","2","$0.00","12/1/2015","800-100-781","4","$588.32","1/30/2016","$709,900","$618.92","0.99","2","2","CD","$719,900","60","1,147","$618.92","0.99","Apartment/Condo"
"R2028315","Residential Attached","S","801 1050 SMITHE STREET","West End VW","2005","Apartment/Condo","11","Vancouver West","Vancouver","4/30/2016","RYAN - TEXT","2","$1,990.41","1/21/2016","026-210-754",,"$420.85","2/1/2016","$710,000","$788.89","1.02","2","2","DD","$698,800","11","900","$788.89","1.02","Apartment/Condo"
"R2019852","Residential Attached","S","105 7788 ACKROYD ROAD","Brighouse","2015","Apartment/Condo","1","Richmond","Richmond","6/30/2016","TEXT OR TOUCHBASE RAYMOND","1","$910.18","12/7/2015","029-681-189",,"$470.11","2/2/2016","$710,000","$557.74","0.92","2","1","APT","$768,000","57","1,273","$557.74","0.92","Apartment/Condo"
"R2027054","Residential Attached","S","56 8533 CUMBERLAND PLACE","The Crest","2006","Townhouse","10","Burnaby East","Burnaby","5/31/2016","YANG SHIN","3","$3,157.34","1/20/2016","026-623-579",,"$211.80","1/28/2016","$710,000","$474.60","1.06","4","4","CDRM1","$669,000","8","1,496","$474.60","1.06","Townhouse"
"R2021927","Residential Detached","S","2728 E 40TH AVENUE","Collingwood VE","2015","House/Single Family","1","Vancouver East","Vancouver","12/31/2016","JULIANA HO","1","$4,814.02","12/27/2015","029-658-161",,"$0.00","1/30/2016","$713,000","$723.86","0.99","2","3","RT 11","$720,000","0","985","$723.86","0.99","House/Single Family"
"R2021925","Residential Attached","S","327 4573 CHATEAU BOULEVARD","Benchlands","1988","Apartment/Condo","28","Whistler","Whistler","6/1/2016","KELLY POGSON","2","$2,567.31","12/28/2015","012-031-526",,"$889.82","2/2/2016","$715,000","$859.38","0.95","2","2","LUC","$749,000","36","832","$859.38","0.95","Apartment/Condo"
"R2029065","Residential Detached","S","17453 61A AVENUE","Cloverdale BC","1973","House/Single Family","43","Cloverdale","Surrey","7/31/2016","Carol or Vince","3","$3,463.34","1/28/2016","005-989-752",,,"2/1/2016","$716,888","$340.08","1.14","3","4","RF","$629,900","4","2,108","$340.08","1.14","House/Single Family"
"R2029920","Residential Attached","S","202 7988 YUKON STREET","Marpole","2017","Apartment/Condo","0","Vancouver West","Vancouver","3/28/2016","CELIA CHIU","2","$0.00","1/28/2016","800-102-356","4","$301.18","2/1/2016","$717,800","$725.05","1.00","2","2","RM-9","$717,800","4","990","$725.05","1.00","Apartment/Condo"
"R2021690","Residential Detached","S","11785 96 AVENUE","Royal Heights","1971","House/Single Family","45","North Surrey","Surrey","4/30/2016","MANTEJ SINGH","2","$3,988.97","12/24/2015","009-341-706",,,"2/2/2016","$718,000","$254.61","1.00","3","5","SFR","$719,900","40","2,820","$254.61","1.00","House/Single Family"
"R2023999","Residential Detached","S","14144 61 AVENUE","Sullivan Station","2016","House/Single Family","0","Surrey","Surrey","5/31/2016","PRITPAL GILL","3","$1,162.14","1/10/2016","029-457-432",,,"1/28/2016","$718,095","$256.92","0.94","5","6","RF-9","$759,900","18","2,795","$256.92","0.96","House/Single Family"
"R2027944","Residential Detached","S","11735 GILLAND LOOP","Cottonwood MR","2005","House/Single Family","11","Maple Ridge","Maple Ridge","6/27/2016","ANGELA","2","$4,507.41","1/25/2016","026-137-992",,,"2/2/2016","$720,000","$234.53","1.11","3","6","RES","$649,000","8","3,070","$234.53","1.11","House/Single Family"
"R2028575","Residential Detached","S","12461 205 STREET","Northwest Maple Ridge","1989","House/Single Family","27","Maple Ridge","Maple Ridge","6/29/2016","JIM QUINNELL","2","$4,687.09","1/26/2016","008-121-354",,,"2/1/2016","$720,000","$320.00","0.97","2","3","RS1","$739,900","6","2,250","$320.00","0.97","House/Single Family"
"R2028334","Residential Attached","S","311 1450 W 6TH AVENUE","Fairview VW","2005","Apartment/Condo","11","Vancouver West","Vancouver","4/30/2016","ESTHER WONG","2","$2,227.28","1/26/2016","026-166-402",,"$381.95","2/1/2016","$720,000","$765.14","1.00","2","2","C-3A","$720,000","6","941","$765.14","1.00","Apartment/Condo"
"R2029564","Residential Detached","S","9931 122 STREET","Cedar Hills","1969","House/Single Family","47","North Surrey","Surrey","4/30/2016","RAJ BUD","3","$3,691.19","1/27/2016","005-258-235",,,"1/30/2016","$721,000","$290.14","1.00","3","5","RES","$718,000","3","2,485","$290.14","1.00","House/Single Family"
"R2027235","Residential Detached","S","13345 MCCAULEY CRESCENT","Silver Valley","2002","House/Single Family","14","Maple Ridge","Maple Ridge","5/24/2016","JEFF OR CASS","3","$4,797.65","1/21/2016","023-928-981",,,"2/1/2016","$725,000","$245.60","1.04","3","4","RS-1B","$699,900","11","2,952","$245.60","1.04","House/Single Family"
"R2027932","Residential Detached","S","8419 164 STREET","Fleetwood Tynehead","1975","House/Single Family","41","Surrey","Surrey","7/31/2016","Baljinder","3","$3,666.51","1/24/2016","023-476-061",,,"1/31/2016","$727,000","$282.55","1.00","3","6","RF","$729,000","7","2,573","$282.55","1.00","House/Single Family"
"R2030176","Residential Detached","S","11366 87 AVENUE","Annieville","1969","House/Single Family","47","N. Delta","Delta","4/30/2016","Reece Falk","2","$2,886.15","2/1/2016","001-161-385",,,"2/1/2016","$727,000","$349.52","1.04","2","5","SFD","$699,900","0","2,080","$349.52","1.04","House/Single Family"
"R2029785","Residential Attached","S","311 7988 YUKON STREET","Marpole","2017","Apartment/Condo","0","Vancouver West","Vancouver","3/28/2016","CELIA CHIU","2","$0.00","1/28/2016","800-102-850","4","$301.18","2/1/2016","$728,800","$736.16","1.00","2","2","RM-9","$728,800","4","990","$736.16","1.00","Apartment/Condo"
"R2025854","Residential Detached","S","2599 RAILCAR CRESCENT","Aberdeen","2015","House/Single Family","1","Abbotsford","Abbotsford","1/31/2017","Steve","4","$2,302.26","1/19/2016","029-440-815",,,"1/31/2016","$729,000","$171.05","1.00","6","6","RS3","$729,900","12","4,262","$171.05","1.03","House/Single Family"
"R2024855","Residential Attached","S","2007 918 COOPERAGE WAY","Yaletown","2009","Apartment/Condo","7","Vancouver West","Vancouver","12/31/2016","call or text DARIOUSH","1","$1,983.00","1/11/2016","027-734-269",,"$379.17","1/31/2016","$730,000","$825.79","1.04","1","1","CD-1","$699,900","20","884","$825.79","0.97","Apartment/Condo"
"R2029642","Residential Detached","S","6304 138 STREET","Sullivan Station","1983","House/Single Family","33","Surrey","Surrey","12/31/2016","Adnan Bhangu","3","$2,912.35","1/28/2016","002-840-073",,,"2/2/2016","$730,000","$294.35","1.01","3","5","RES","$720,000","5","2,480","$294.35","1.01","House/Single Family"
"R2027765","Residential Attached","S","4619 HOSKINS ROAD","Lynn Valley","1970","Townhouse","46","North Vancouver","North Vancouver","7/25/2016","CAROL WAGNER","1","$2,519.17","1/25/2016","002-997-622",,"$434.28","1/31/2016","$730,000","$380.21","1.12","2","3","MFD","$649,000","6","1,920","$380.21","1.12","Townhouse"
"R2022936","Residential Attached","S","PH1 7178 COLLIER STREET","Highgate","2005","Apartment/Condo","11","Burnaby South","Burnaby","4/30/2016","WAYNE","2","$3,442.50","1/4/2016","026-391-970",,"$420.01","1/31/2016","$730,000","$525.56","0.99","2","3","APT","$739,900","27","1,389","$525.56","0.99","Apartment/Condo"
"R2024349","Residential Attached","S","PH502 997 W 22ND AVENUE","Cambie","2004","Apartment/Condo","12","Vancouver West","Vancouver","6/30/2016","KEVIN HARDY","2","$2,149.50","1/11/2016","025-948-075","5","$413.92","1/31/2016","$734,000","$779.19","0.98","2","2","C-2","$749,000","20","942","$779.19","0.98","Apartment/Condo"
"R2029978","Residential Detached","S","12753 67 AVENUE","West Newton","2000","House/Single Family","16","Surrey","Surrey","4/30/2016","Victer","4","$3,962.41","1/28/2016","024-090-735",,,"1/28/2016","$735,000","$249.15","1.00","5","8","SF","$735,000","0","2,950","$249.15","1.00","House/Single Family"
"R2030500","Residential Detached","S","11693 83 AVENUE","Scottsdale","1973","House/Single Family","43","N. Delta","Delta","4/13/2016","RAVINDER SINGH","3","$2,870.00","1/29/2016","005-085-306",,,"1/30/2016","$735,000","$315.45","0.99","3","5","RM1","$740,000","1","2,330","$315.45","0.99","House/Single Family"
"R2018471","Residential Attached","S","1010 7888 ACKROYD ROAD","Brighouse","2015","Apartment/Condo","1","Richmond","Richmond","3/15/2016","RAYMOND","3","$0.00","11/27/2015","029-679-125",,"$356.61","2/2/2016","$735,000","$683.72","0.97","3","3","RES","$756,800","67","1,075","$683.72","0.92","Apartment/Condo"
"R2028905","Residential Detached","S","35493 DONEAGLE PLACE","Abbotsford East","2000","House/Single Family","16","Abbotsford","Abbotsford","3/27/2016","Lisa or Bill","2","$5,521.12","1/26/2016","023-976-969",,,"1/29/2016","$735,000","$319.29","1.00","3","3","N2","$735,900","3","2,302","$319.29","1.00","House/Single Family"
"R2030390","Residential Detached","S","2586 RAILCAR CRESCENT","Poplar","2016","House/Single Family","0","Abbotsford","Abbotsford","9/30/2016","Raman or Rupinder","6","$2,045.00","1/28/2016","029-441-102",,,"1/28/2016","$735,000","$184.53","0.99","6","6","RS3-A","$740,000","0","3,983","$184.53","0.99","House/Single Family"
"R2027503","Residential Detached","S","9441 164 STREET","Fleetwood Tynehead","1990","House/Single Family","26","Surrey","Surrey","5/31/2016","CORY","2","$3,298.64","1/22/2016","009-057-170",,,"1/31/2016","$735,000","$273.95","0.97","3","4","RSF","$759,900","9","2,683","$273.95","0.97","House/Single Family"
"R2029168","Residential Detached","S","14616 75A AVENUE","East Newton","1998","House/Single Family","18","Surrey","Surrey","4/30/2016","Bryan","3","$3,168.17","1/24/2016","023-621-184",,,"2/2/2016","$740,000","$264.29","1.03","4","4","RES","$719,800","9","2,800","$264.29","1.03","House/Single Family"
"R2014634","Residential Detached","S","2719 CAMBIE STREET","Aberdeen","2011","House/Single Family","5","Abbotsford","Abbotsford","5/10/2016","Harj","6","$5,227.50","11/10/2015","027-514-048",,,"1/29/2016","$740,000","$187.39","0.98","6","8","RS3","$758,800","80","3,949","$187.39","0.97","House/Single Family"
"R2023092","Residential Detached","S","1879 MAPLE DRIVE","Valleycliffe","1981","House/Single Family","35","Squamish","Squamish","9/6/2016","Andrew Laurie","2","$2,334.79","1/5/2016","008-508-887",,,"2/2/2016","$740,000","$378.90","0.96","2","4","RS-1","$769,900","28","1,953","$378.90","0.96","House/Single Family"
"R2028859","Residential Attached","S","201 1788 ONTARIO STREET","Mount Pleasant VE","2016","Apartment/Condo","0","Vancouver East","Vancouver","3/31/2016","MARTIN","2","$0.00","1/26/2016","800-102-285","12","$417.57","2/1/2016","$743,900","$768.49","1.00","2","2","CD-1","$743,800","6","968","$768.49","1.00","Apartment/Condo"
"R2025203","Residential Attached","S","1236 COAST MERIDIAN ROAD","Burke Mountain","2014","1/2 Duplex","2","Coquitlam","Coquitlam","9/30/2016","SAM CLARK","3","$3,341.78","1/13/2016","028-945-018",,,"2/1/2016","$745,000","$340.34","1.00","4","4","RTM-1","$745,000","19","2,189","$340.34","1.00","1/2 Duplex"
"R2019164","Residential Attached","S","3106 4508 HAZEL STREET","Forest Glen BS","2015","Apartment/Condo","1","Burnaby South","Burnaby","5/31/2016","Allan","2","$640.34","12/3/2015","029-486-441",,"$327.00","1/29/2016","$746,000","$823.40","0.96","2","2","CD","$778,000","57","906","$823.40","0.96","Apartment/Condo"
"R2021753","Residential Attached","S","2 5660 BLUNDELL ROAD","Lackner","2010","Townhouse","6","Richmond","Richmond","3/31/2016","KAMAN/CARL","3","$2,467.12","12/29/2015","028-276-850",,"$219.87","2/1/2016","$748,000","$485.08","1.01","3","4","RTM1","$738,000","34","1,542","$485.08","1.01","Townhouse"
"R2029358","Residential Detached","S","2052 POOLEY AVENUE","Lower Mary Hill","1989","House/Single Family","27","Port Coquitlam","Port Coquitlam","3/26/2016","Brenda","3","$2,930.15","1/26/2016","007-279-442",,,"2/1/2016","$750,000","$332.45","1.07","3","4","RES","$699,000","6","2,256","$332.45","1.07","House/Single Family"
"R2029392","Residential Attached","S","34 15885 26 AVENUE","Grandview Surrey","2009","Townhouse","7","South Surrey White Rock","Surrey","4/25/2016","Louise McKnight","3","$3,662.09","1/28/2016","028-052-510",,"$389.59","1/31/2016","$750,000","$241.55","1.00","4","3","CD","$750,000","3","3,105","$241.55","1.00","Townhouse"
"R2021583","Residential Detached","S","32596 CHERRY AVENUE","Mission BC","9999","House with Acreage","999","Mission","Mission","6/22/2016","ROB GILL","4","$5,842.47","12/22/2015","005-742-561",,,"1/28/2016","$750,000","$243.82","0.96","4","6","RES","$784,900","37","3,076","$243.82","0.96","House with Acreage"
"R2027740","Residential Detached","S","20253 43 AVENUE","Brookswood Langley","1976","House/Single Family","40","Langley","Langley","4/24/2016","Open Houses Only","1","$4,012.44","1/24/2016","006-206-620",,,"1/30/2016","$750,000","$369.46","1.07","3","3","R-1E","$699,900","6","2,030","$369.46","1.07","House/Single Family"
"R2026530","Residential Detached","S","3609 INVERNESS STREET","Lincoln Park PQ","1958","House/Single Family","58","Port Coquitlam","Port Coquitlam","5/30/2016","RICHARD","1","$2,849.78","1/19/2016","010-524-347",,,"1/31/2016","$750,000","$714.29","1.08","1","3","RES","$695,000","0","1,050","$714.29","1.08","House/Single Family"
"R2028805","Residential Detached","S","2575 CAPE HORN AVENUE","Coquitlam East","1983","House/Single Family","33","Coquitlam","Coquitlam","6/30/2016","ROB","2","$3,159.93","1/22/2016","002-573-466",,,"1/30/2016","$750,000","$326.09","1.07","3","4","RS-1","$699,000","8","2,300","$326.09","1.07","House/Single Family"
